,1Salon,Area util_s1,Bloque_s1,Capacidad_s1,Ext_s1,Fijo/Movil_s1,Movil Express_s1,Tipo Mobiliario_s1
384,C_106,"42,3",C,22.0,nan,Movil,si,"Silla móvil, mesa móvil"
385,LL_101,"51,7",LL,47.0,5076.0,Movil,SI,Pupitre universitario
386,ML_119,"16,3",ML,10.0,nan,Movil,SI,"Silla móvil, mesa móvil"
387,B_203,"88,6",B,53.0,1441.0,Fijo,No,Silla móvil y mesa fija
388,SD_202,"58,8",Sd,26.0,nan,Movil,Si,"Silla móvil, mesa móvil"
389,G_101,"120,6",G,84.0,5501.0,Fijo,No,Silla móvil y mesa fija
390,ML_603,"165,6",ML,117.0,1626.0,Fijo,Si,Silla móvil y mesa fija
391,Q_405,"114,9",Q,70.0,nan,Fijo,SI,Silla móvil y mesa fija
392,O_302,"64,2",O,56.0,5262.0,Fijo,No,Silla móvil y mesa fija
393,O_204,"70,6",O,62.0,5259.0,Fijo,No,Silla móvil y mesa fija
394,O_301,"64,2",O,56.0,5261.0,Fijo,No,Silla móvil y mesa fija
395,,,,,,,,
396,,,,,,,,
397,,,,,,,,
398,,,,,,,,
399,,,,,,,,
400,O_102,"94,0",O,121.0,5251.0,Fijo,No,Silla y superficie abatible fijas
401,,,,,,,,
402,,,,,,,,
403,,,,,,,,
404,,,,,,,,
405,ML_606,"125,7",ML,81.0,1612.0,Fijo,Si,Silla móvil y mesa fija
406,R_113,"83,5",R,77.0,nan,Fijo,No,Silla y superficie abatible fijas
407,SD_801,"140,0",Sd,82.0,1110.0,Fijo,Si,Silla móvil y mesa fija
408,SD_803,"140,0",Sd,82.0,1163.0,Fijo,Si,Silla móvil y mesa fija
409,ML_604,"125,7",ML,81.0,1616.0,Fijo,Si,Silla móvil y mesa fija
410,ML_615,"109,6",ML,80.0,1623.0,Fijo,SI,Silla móvil y mesa fija
411,SD_806,"140,4",Sd,82.0,1164.0,Fijo,Si,Silla móvil y mesa fija
412,B_401,"159,2",B,81.0,nan,Fijo,No (es salas de computo también),Silla móvil y mesa fija
413,R_111,"83,0",R,70.0,nan,Fijo,No,Silla y superficie abatible fijas
414,LL_101,"51,7",LL,47.0,5076.0,Movil,SI,Pupitre universitario
